Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
HS046_S97_L004_R2_001	HS046_S97_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60124991.0	6 Gbp	0.0	10-101	53.0	50.26902952128488	99.52002520881874	100	pass	pass	warn	pass	fail	warn	pass	warn	warn	fail	warn
HS047_S98_L004_R1_001	HS047_S98_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44004689.0	4.3 Gbp	0.0	10-101	51.0	43.68165949581785	99.43538821510589	100	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
HS047_S98_L004_R2_001	HS047_S98_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44004689.0	4.3 Gbp	0.0	10-101	51.0	49.449504758186116	99.45997350418725	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	warn
HS048_S99_L004_R1_001	HS048_S99_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57451727.0	5.7 Gbp	0.0	10-101	54.0	31.768438060286226	99.45353012625712	100	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
HS048_S99_L004_R2_001	HS048_S99_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57451727.0	5.7 Gbp	0.0	10-101	53.0	38.18352228123182	99.4839058188799	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
HS049_S100_L004_R1_001	HS049_S100_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60735169.0	6 Gbp	0.0	10-101	52.0	17.249479024958646	99.4178328869061	100	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
HS049_S100_L004_R2_001	HS049_S100_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60735169.0	6 Gbp	0.0	10-101	52.0	24.078914479425332	99.44748305549294	100	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
HS050_S101_L004_R1_001	HS050_S101_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50282754.0	5 Gbp	0.0	10-101	53.0	38.87840851271209	99.40602175449658	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
HS050_S101_L004_R2_001	HS050_S101_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50282754.0	5 Gbp	0.0	10-101	53.0	44.37193155540625	99.44323041653605	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	warn
HS051_S102_L004_R1_001	HS051_S102_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9682169.0	1.4 Gbp	0.0	151.0	50.0	90.82763437394121	151.0	151	pass	pass	warn	pass	fail	fail	pass	pass	pass	warn	fail
